ID,transaction_count,credit_count,debit_count,net_count,debit_amount,credit_amount,amount_moved,CAT_Animais de estimação,CAT_Cabeleireiro e Barbeiro,CAT_Cafés e Pastelarias,CAT_Carro e Transportes,CAT_Casa,CAT_Combustível,CAT_Compras e Serviços,CAT_Diversos,CAT_Educação,CAT_Empréstimos e Rendas,CAT_Hobbies,CAT_Investimentos e Poupanças,CAT_Lazer e Viagens,CAT_Levantamentos,CAT_Não categorizadas,CAT_Ordenado e Subsídios,CAT_Outros Rendimentos,CAT_Restaurantes e Bares,CAT_Saúde e Bem estar,CAT_Seguros,CAT_Subscrições,CAT_Supermercado,CAT_Taxas e Impostos,CAT_Tecnologia,CAT_Telecomunicações,CAT_Vestuário e Calçado,"CAT_Água, luz e gás",target
431,19,13,6,7,1278.62,2008.57,3287.1899999999996,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,2,0
432,138,17,121,-104,64720.43,71451.15,136171.58000000002,2,0,15,0,0,21,1,2,0,0,0,2,0,5,38,4,6,28,1,1,0,0,12,0,0,0,0,0
433,30,6,24,-18,974.78,1200.0,2174.7799999999997,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,6,0,3,0,0,3,8,0,0,0,0,0
434,668,41,627,-586,1299362.44,1340708.81,2640071.25,0,0,1,9,0,4,13,18,0,4,0,0,2,8,367,1,33,19,9,15,0,31,83,1,14,2,34,0
435,123,60,63,-3,55129.73,55688.68,110818.41000000002,0,0,0,0,0,0,0,0,0,8,0,0,0,0,37,0,46,0,0,10,0,0,22,0,0,0,0,0
436,250,24,226,-202,81115.92000000001,86892.15999999999,168008.08000000002,0,0,0,2,0,3,20,0,0,4,0,2,0,54,35,0,20,32,4,10,0,27,15,0,2,2,18,0
437,340,49,291,-242,830555.72,481983.27999999997,1312539.0,0,0,0,0,1,0,5,50,0,16,0,0,0,0,84,1,41,0,1,26,0,1,103,0,3,0,8,0
438,183,42,141,-99,15297.470000000001,14717.56,30015.03,0,0,0,5,1,2,12,0,0,4,0,0,0,19,44,0,37,4,0,1,0,5,32,0,6,0,11,0
439,90,10,80,-70,13629.170000000002,17794.5,31423.670000000002,0,0,0,29,0,0,0,14,0,0,0,5,0,0,4,0,10,0,1,18,0,0,9,0,0,0,0,0
440,459,85,374,-289,10713.79,11177.109999999999,21890.899999999998,0,1,10,1,1,23,43,17,1,4,0,21,0,10,71,16,54,42,26,20,0,60,27,0,0,8,3,0
441,679,175,504,-329,415122.09,408650.56,823772.65,1,0,6,20,6,6,20,32,0,4,0,4,0,12,119,10,158,44,21,10,0,140,63,0,1,1,1,0
442,147,5,142,-137,5218.5,3234.54,8453.039999999999,0,0,0,1,0,28,4,0,0,4,0,0,0,38,0,3,2,13,0,14,0,23,12,1,0,0,4,0
443,220,19,201,-182,11204.869999999999,7981.019999999999,19185.89,0,0,1,6,0,15,6,9,0,8,0,2,0,14,40,6,9,9,17,17,0,36,3,2,10,2,8,0
444,3871,2709,1162,1547,111425222.96000001,97266570.23,208691793.19,0,0,0,189,0,0,0,484,0,0,0,2,0,0,277,5,2599,0,0,0,0,0,275,0,0,0,40,1
445,188,10,178,-168,11591.63,9474.08,21065.710000000003,0,0,0,0,0,4,3,0,0,4,0,4,0,21,42,4,4,17,11,12,0,37,12,1,4,1,7,0
446,273,13,260,-247,52655.78,28095.03,80750.81,6,0,1,1,2,1,20,6,0,0,0,0,0,12,58,4,8,22,11,0,0,91,9,1,5,5,10,1
447,392,66,326,-260,28143.9,34284.15,62428.05,2,1,1,31,0,16,21,32,1,12,0,0,1,31,68,4,44,18,8,29,0,22,28,0,7,9,6,0
448,182,32,150,-118,13070.099999999999,13133.32,26203.42,0,11,1,0,0,8,9,0,2,0,1,11,3,4,34,4,22,14,7,1,0,29,17,0,3,1,0,0
449,265,93,172,-79,23134.61,24453.850000000006,47588.46,0,0,0,0,0,8,6,51,1,4,0,0,1,0,99,0,18,0,16,1,0,29,15,0,11,1,4,1
450,230,9,221,-212,8366.03,8345.550000000001,16711.58,7,0,0,13,0,3,7,5,2,0,0,0,0,40,31,4,4,18,7,0,0,53,19,1,7,2,7,0
451,108,27,81,-54,4348.31,5497.35,9845.659999999998,0,1,0,2,0,1,3,7,0,0,0,0,2,4,27,0,23,1,1,4,0,2,24,0,4,2,0,0
452,169,29,140,-111,6463.02,5729.87,12192.89,0,0,0,3,0,8,5,15,4,0,0,6,0,0,16,8,8,2,9,4,0,42,27,0,8,0,4,0
453,348,17,331,-314,22582.89,21590.73,44173.619999999995,0,4,0,16,0,6,34,11,0,0,3,0,0,17,77,0,15,24,22,1,0,28,67,0,7,11,5,0
454,215,29,186,-157,34150.74,39934.38,74085.12,2,0,1,5,1,10,20,11,1,4,0,0,0,18,39,9,8,1,8,12,0,31,14,3,12,2,3,0
455,1240,643,597,46,996065.6300000001,1506960.4,2503026.0300000003,0,0,0,17,2,11,14,48,4,0,0,1,1,25,444,9,426,30,12,9,4,33,85,5,44,0,16,0
456,108,5,103,-98,6494.370000000001,6849.99,13344.359999999997,0,0,0,9,0,2,9,1,0,8,0,0,0,5,5,0,4,1,19,24,0,5,6,0,4,0,6,0
458,369,36,333,-297,269649.92,202459.16999999998,472109.08999999997,1,0,0,11,0,5,26,19,0,5,0,0,1,3,113,7,28,42,13,20,0,46,18,2,0,3,6,0
460,188,14,174,-160,6922.12,9459.84,16381.960000000001,0,0,0,15,0,2,8,8,0,0,0,3,0,11,14,4,7,41,7,13,0,34,11,2,6,1,1,0
461,571,77,494,-417,53702.04,48912.240000000005,102614.28,0,8,1,0,3,3,21,40,1,5,0,22,1,17,148,5,63,61,20,16,2,57,56,1,0,8,12,0
463,290,29,261,-232,11344.52,9838.7,21183.22,0,0,1,4,0,4,31,0,0,4,0,0,0,54,22,9,15,37,5,13,0,53,19,0,6,8,5,0
464,259,21,238,-217,12235.45,8480.130000000001,20715.58,0,0,0,20,7,11,24,11,0,0,0,0,0,38,35,0,12,16,18,14,0,35,6,1,4,1,6,1
465,432,73,359,-286,13108.630000000001,11313.98,24422.61,0,0,1,0,0,31,26,11,0,0,1,4,0,116,45,4,45,21,6,12,0,59,12,2,23,4,9,0
466,377,80,297,-217,192719.57,219048.53999999998,411768.11,0,0,0,57,0,3,3,21,0,0,0,0,2,29,125,0,70,1,2,18,0,6,29,0,8,0,3,1
467,216,17,199,-182,9158.29,9411.029999999999,18569.32,4,0,0,3,5,24,36,0,0,0,1,0,0,15,14,0,16,10,6,2,0,50,15,3,0,6,6,0
468,125,10,115,-105,25871.61,34093.95,59965.560000000005,0,0,0,21,0,7,3,3,0,0,0,0,1,6,25,0,7,29,0,0,0,11,10,0,0,0,2,1
469,308,43,265,-222,118355.54,64176.83,182532.37,0,1,0,14,1,8,17,10,0,0,2,2,1,47,32,12,26,8,6,15,0,64,14,3,8,4,13,1
471,143,23,120,-97,45137.65000000001,45066.079999999994,90203.73,1,0,0,1,3,2,6,3,0,0,0,3,0,8,22,3,18,16,4,2,0,24,9,0,4,2,12,1
472,599,99,500,-401,143149.47999999998,115290.33,258439.81,0,6,0,27,5,0,19,7,2,8,0,0,2,10,212,8,67,50,29,22,0,35,59,1,4,12,14,0
473,389,145,244,-99,357071.68000000005,353603.37,710675.05,0,0,0,1,8,16,5,42,2,6,0,2,0,1,113,2,141,2,0,1,0,1,23,0,12,0,11,0
474,786,246,540,-294,160348.81000000003,156047.16,316395.97000000003,2,0,0,38,10,9,38,23,1,1,0,0,0,11,185,0,234,18,4,11,0,25,150,0,8,2,16,0
475,203,27,176,-149,8785.53,8831.059999999998,17616.59,0,0,0,31,0,19,7,9,0,3,0,0,0,5,46,4,21,15,2,0,0,6,24,0,3,1,7,0
476,93,12,81,-69,24736.120000000003,21867.590000000004,46603.710000000014,0,0,0,1,0,0,7,12,0,0,0,0,0,0,23,4,7,0,8,5,0,0,12,0,6,0,8,0
477,202,24,178,-154,13267.6,12509.42,25777.02,0,2,0,18,0,8,7,2,0,8,0,0,1,10,40,4,14,10,13,8,0,32,16,0,4,1,4,0
478,127,4,123,-119,6842.98,7886.27,14729.250000000002,0,0,0,8,5,4,9,5,0,0,0,0,0,15,16,0,4,1,6,0,0,39,8,0,4,0,3,1
479,225,32,193,-161,40245.71000000001,69031.64,109277.35,0,0,0,1,0,0,4,1,0,0,0,0,0,110,28,6,25,0,0,1,0,1,37,0,8,0,3,1
480,240,15,225,-210,7097.200000000001,5365.51,12462.710000000001,1,0,0,16,5,22,8,6,0,0,0,0,2,20,18,6,4,17,34,0,0,48,10,2,15,6,0,1
481,458,99,359,-260,15942.48,16230.41,32172.890000000003,4,1,20,23,1,16,30,24,0,0,0,8,3,16,59,0,87,32,16,9,0,55,22,1,18,3,10,0
482,444,33,411,-378,39018.9,52010.3,91029.2,0,0,1,6,5,3,28,11,1,8,0,4,0,13,69,4,25,100,13,21,0,30,74,2,8,1,17,0
483,111,8,103,-95,3050.6999999999994,3087.46,6138.160000000001,0,0,0,1,1,0,15,0,0,0,0,0,0,1,5,0,5,6,12,1,0,47,1,0,8,0,8,1
484,339,129,210,-81,14959.71,14441.0,29400.71,0,3,0,0,0,5,15,1,0,0,0,2,0,0,113,0,118,8,11,4,0,43,11,0,0,3,2,1
485,205,58,147,-89,33961.11,40934.89,74896.0,0,0,0,6,0,10,6,9,1,0,0,9,0,1,8,0,56,6,4,2,0,50,22,1,8,0,6,0
486,169,17,152,-135,35127.56999999999,40905.5,76033.06999999999,0,0,0,10,0,3,9,8,2,0,0,0,0,17,28,5,10,29,0,0,4,25,18,0,0,1,0,0
487,287,13,274,-261,7743.290000000001,7015.44,14758.73,6,0,0,5,2,5,10,0,1,8,0,0,0,43,4,8,5,8,10,13,0,138,4,0,6,3,8,0
488,187,5,182,-177,5367.150000000001,5879.6,11246.75,0,0,0,20,0,35,2,13,0,4,1,0,0,13,22,4,0,14,8,1,0,10,28,2,7,3,0,0
489,145,10,135,-125,7612.49,6311.0199999999995,13923.509999999998,6,0,0,4,0,11,4,4,0,0,0,0,0,0,3,4,4,2,19,5,0,52,9,1,8,2,7,0
490,171,34,137,-103,12106.269999999997,8830.53,20936.8,0,0,0,0,0,9,11,2,0,0,0,0,0,2,12,4,24,63,11,4,0,15,5,0,2,3,4,1
491,256,21,235,-214,14170.46,11629.240000000002,25799.7,0,0,0,18,2,25,19,1,3,0,16,2,1,41,27,0,16,25,6,0,0,36,10,0,3,5,0,0
492,37,27,10,17,1013.15,1599.48,2612.6299999999997,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,8,1
493,39,8,31,-23,3217.69,1864.62,5082.3099999999995,0,0,0,0,3,0,0,0,0,4,0,0,0,0,2,0,8,0,0,8,0,0,14,0,0,0,0,1
495,95,7,88,-81,9007.079999999998,6560.01,15567.09,0,0,0,4,1,15,0,0,0,0,0,4,0,6,10,4,4,0,11,4,0,19,1,0,8,0,4,1
496,980,429,551,-122,7764623.03,8541803.06,16306426.09,0,0,0,30,6,0,16,81,0,1,2,0,0,13,121,41,416,35,4,22,0,70,96,2,8,2,14,1
497,567,204,363,-159,60019.119999999995,61022.42999999999,121041.55,33,0,1,5,4,3,33,12,2,0,0,0,0,13,242,4,96,28,14,3,0,7,46,0,8,1,12,0
498,68,10,58,-48,5924.990000000001,2121.22,8046.210000000001,1,0,0,14,0,1,2,16,0,0,0,0,0,3,5,0,10,1,2,0,0,3,10,0,0,0,0,1
499,247,53,194,-141,34362.270000000004,34523.94,68886.20999999999,0,0,0,42,0,2,4,11,0,10,0,0,0,7,47,0,44,1,10,16,0,0,51,0,0,0,2,0
500,393,220,173,47,61137.84,69083.87,130221.71,0,0,0,0,0,0,9,6,0,4,0,2,0,0,235,8,50,0,1,2,0,0,34,6,12,0,24,0
501,2540,1578,962,616,7609573.72,7793025.9399999995,15402599.660000002,0,0,0,6,0,1,23,225,1,0,0,2,0,0,521,24,1494,0,0,0,0,0,194,0,20,0,29,0
502,609,94,515,-421,84139.29000000001,63542.06000000001,147681.35,0,0,0,36,0,37,45,31,5,4,0,0,0,4,132,0,90,92,19,8,0,50,34,0,11,4,7,0
503,458,63,395,-332,242949.96999999997,163310.11999999997,406260.08999999997,14,1,0,22,10,8,12,7,8,0,0,2,0,17,73,2,54,29,17,1,0,63,84,1,14,5,14,0
504,632,72,560,-488,111499.96,108678.56,220178.52000000002,0,1,1,0,0,7,16,3,0,4,0,0,2,73,171,14,58,10,14,8,0,109,128,3,3,7,0,0
505,172,36,136,-100,8552.91,9135.15,17688.06,0,0,0,14,0,5,3,2,0,0,1,0,11,18,35,4,29,18,5,0,2,0,19,0,4,1,1,1
506,217,26,191,-165,7483.620000000001,6877.040000000001,14360.66,1,0,0,12,4,9,11,2,0,0,1,7,0,9,68,3,16,6,8,0,0,17,39,0,0,4,0,1
507,1268,307,961,-654,13624025.770000001,14174354.060000002,27798379.830000006,0,18,0,171,0,6,6,34,0,0,0,0,1,18,480,14,296,13,11,14,0,87,47,1,27,4,20,1
508,193,164,29,135,54511.96,180539.65999999997,235051.62,0,0,0,0,0,0,0,12,0,0,0,0,0,0,16,0,151,0,0,0,0,0,14,0,0,0,0,1
509,333,60,273,-213,138786.96,118116.21999999999,256903.18,2,9,0,10,6,11,19,6,0,4,0,3,0,18,53,0,59,12,16,0,0,44,32,0,4,16,9,0
510,722,58,664,-606,34166.990000000005,37475.84,71642.82999999999,4,1,0,4,6,7,10,7,0,4,0,2,6,26,247,4,44,14,14,71,0,65,149,1,12,7,17,0
511,211,30,181,-151,175002.93000000005,154044.02000000002,329046.94999999995,0,0,0,6,2,4,4,3,0,0,0,0,0,27,64,3,21,30,14,0,0,3,13,0,12,4,1,1
512,834,158,676,-518,2478952.3499999996,2326219.8,4805172.15,0,2,0,2,2,3,38,105,2,9,2,0,0,0,221,4,127,4,9,19,0,48,218,2,0,9,8,0
513,305,15,290,-275,161391.11000000002,177191.56,338582.67,0,0,1,37,0,31,3,15,0,0,2,0,3,8,24,6,9,72,2,14,0,16,27,0,12,0,23,0
514,152,34,118,-84,53214.08,52799.15,106013.23000000001,0,0,0,0,0,0,0,17,0,4,0,3,0,1,24,0,31,0,0,16,0,0,29,0,11,0,16,0
515,864,147,717,-570,38519.17,37997.66,76516.83,2,2,0,24,1,116,38,22,2,8,0,0,9,35,160,4,135,157,31,9,0,65,38,2,0,4,0,0
516,204,15,189,-174,13639.43,16386.02,30025.450000000004,1,0,0,12,3,2,9,8,0,0,0,3,0,6,13,1,10,17,14,3,0,73,9,0,19,1,0,0
517,166,6,160,-154,18721.03,16049.85,34770.88,0,0,1,10,0,8,0,1,4,0,1,4,1,7,37,0,3,21,10,0,0,46,10,1,1,0,0,0
518,651,138,513,-375,18420.72,19695.79,38116.51,2,0,3,35,2,18,19,27,0,4,0,2,3,31,112,8,119,103,52,18,0,34,47,1,2,6,3,0
519,258,52,206,-154,10906.99,11526.689999999999,22433.68,0,1,1,12,5,4,3,12,0,3,0,0,0,11,36,5,45,3,21,18,4,29,26,3,3,5,8,0
520,110,14,96,-82,4672.49,5899.96,10572.45,0,7,0,0,0,0,22,0,0,0,0,0,0,2,7,5,6,36,4,0,0,16,0,0,0,5,0,1
521,259,40,219,-179,65350.47,65390.95999999999,130741.43,0,1,1,4,0,23,15,3,0,0,2,7,2,10,60,8,25,24,5,3,0,27,27,0,6,6,0,0
522,357,33,324,-291,32618.28,26920.68,59538.96,0,0,3,3,4,26,18,23,9,4,1,4,0,21,68,4,21,41,27,9,0,56,2,1,4,4,4,0
523,384,22,362,-340,392785.0,363734.6,756519.6,9,4,1,17,18,4,34,5,0,0,0,0,1,23,49,4,8,34,11,4,0,108,32,0,12,5,1,1
524,360,42,318,-276,29689.410000000003,31582.660000000003,61272.07,0,0,0,28,1,9,21,4,0,3,1,0,3,8,132,4,32,38,8,0,0,35,19,1,4,4,5,0
525,179,15,164,-149,10047.07,11201.4,21248.469999999998,7,0,0,1,1,2,18,10,5,8,0,0,0,1,7,4,9,15,24,20,0,38,2,0,4,3,0,0
526,175,14,161,-147,21684.74,23015.34,44700.08,0,0,0,15,1,3,8,0,1,4,0,6,0,17,23,0,9,9,6,8,0,34,17,2,4,5,3,0
527,124,13,111,-98,6170.579999999999,6097.6900000000005,12268.27,0,5,0,2,0,0,3,0,0,0,0,2,0,1,19,4,9,10,8,0,0,21,12,1,4,5,18,0
528,115,15,100,-85,4683.13,4042.27,8725.400000000001,0,0,0,2,1,6,8,12,0,0,0,0,0,5,26,8,5,2,13,5,0,4,8,0,4,6,0,0
529,339,55,284,-229,41358.76,41041.119999999995,82399.88,0,0,1,36,3,1,16,17,0,4,0,13,0,0,85,8,39,15,7,1,0,39,25,0,8,5,16,0
530,380,25,355,-330,65483.89,61744.1,127227.98999999999,0,4,5,11,5,7,34,11,1,0,0,4,3,17,68,11,6,78,18,0,0,40,31,2,4,8,12,0
531,112,43,69,-26,2898.84,117145.4,120044.23999999999,0,0,0,0,0,1,0,5,0,0,0,0,0,7,3,0,43,3,2,0,0,38,6,0,4,0,0,0
533,200,23,177,-154,21336.73,18930.76,40267.490000000005,0,2,0,18,6,1,15,3,1,0,0,0,0,11,36,4,12,20,1,1,0,24,20,1,8,2,14,1
534,157,29,128,-99,6561.29,6451.1,13012.39,0,0,0,2,0,33,1,0,0,0,0,0,1,9,43,4,19,8,3,5,0,17,7,0,4,1,0,1
535,132,22,110,-88,9105.159999999998,9225.68,18330.84,1,0,0,2,2,11,2,1,0,0,0,0,0,14,14,4,12,14,9,7,0,11,7,0,2,1,18,1
536,356,109,247,-138,31227.949999999997,30997.239999999998,62225.189999999995,0,0,0,0,2,10,12,12,0,0,0,7,6,3,96,3,101,30,5,0,0,8,50,0,11,0,0,1
539,387,34,353,-319,40759.3,40717.32,81476.62,4,4,0,5,1,14,21,19,4,4,2,0,1,9,77,6,24,43,39,4,0,17,70,2,0,17,0,0
540,223,20,203,-183,11225.75,9224.689999999999,20450.440000000002,0,0,0,8,0,26,7,4,0,4,0,0,1,27,14,7,9,13,6,12,0,45,22,0,5,3,10,0
541,164,27,137,-110,215213.49,216199.55000000002,431413.04000000004,0,0,0,8,3,2,8,15,0,4,0,0,3,7,36,4,19,7,7,8,0,10,8,0,4,3,8,1
542,148,13,135,-122,5204.93,9824.38,15029.31,1,0,0,18,0,0,18,2,0,0,0,0,0,15,13,4,5,1,16,4,0,39,8,0,0,4,0,1
543,167,27,140,-113,13183.59,41073.22,54256.81000000001,0,0,0,15,0,3,8,3,0,0,0,7,0,7,21,4,20,1,17,7,0,36,9,2,1,6,0,1
545,542,103,439,-336,895281.73,768183.2900000002,1663465.02,0,0,0,16,0,7,9,29,2,0,4,0,1,0,211,9,94,21,1,4,0,10,69,14,26,3,12,0
546,434,89,345,-256,50136.2,50990.119999999995,101126.32,1,0,0,21,1,6,18,16,0,0,0,9,3,20,97,4,80,20,12,13,0,19,60,0,13,4,17,0
547,302,22,280,-258,9909.0,10161.949999999999,20070.95,0,0,0,17,1,2,17,2,0,4,0,0,0,29,25,4,3,23,18,4,0,117,17,0,4,11,4,0
548,196,14,182,-168,11986.519999999999,2852.65,14839.169999999998,6,0,0,0,2,17,23,0,0,0,0,0,1,36,15,0,9,6,19,5,0,34,12,3,2,3,3,0
549,171,9,162,-153,6126.29,9872.359999999999,15998.650000000001,0,1,0,5,0,0,9,13,0,0,0,0,0,6,13,4,4,17,9,9,0,68,1,0,5,4,3,0
550,69,18,51,-33,83341.01999999999,87486.2,170827.22,0,0,0,8,0,2,0,1,0,0,0,0,0,3,15,0,13,1,1,8,0,6,11,0,0,0,0,0
551,581,26,555,-529,22549.489999999998,17420.21,39969.7,0,0,1,1,0,62,21,14,3,0,1,0,1,14,232,4,15,116,15,2,0,30,37,0,0,7,5,0
552,298,32,266,-234,11569.59,12043.130000000001,23612.72,0,1,1,32,4,7,8,11,0,0,0,1,0,24,69,4,25,11,13,0,0,29,22,1,21,5,9,0
553,462,42,420,-378,12034.050000000001,11927.04,23961.09,0,8,0,2,0,80,17,104,0,0,0,0,0,20,37,0,30,64,17,8,0,29,39,1,3,3,0,0
555,911,301,610,-309,1039776.3700000001,649562.58,1689338.9500000002,0,1,0,2,5,17,4,54,0,31,0,6,1,27,223,4,231,15,10,25,0,59,133,0,20,3,40,0
556,223,40,183,-143,49699.42,49895.34,99594.76,0,1,13,14,1,6,11,7,0,0,0,4,0,21,48,4,34,9,8,4,0,20,14,0,0,4,0,1
557,261,16,245,-229,11062.76,13073.99,24136.75,0,0,1,26,0,35,5,9,0,0,0,0,0,15,61,4,8,44,6,4,0,23,13,1,4,2,0,0
558,421,52,369,-317,193091.61,184526.22999999998,377617.84,0,1,0,8,0,11,10,43,3,12,0,0,2,21,118,7,32,12,8,19,0,33,49,2,9,6,15,0
560,196,10,186,-176,6048.969999999999,4866.63,10915.600000000002,0,0,0,18,1,6,23,4,0,0,0,5,2,9,25,4,2,51,3,0,0,10,18,5,4,2,4,0
561,279,25,254,-229,554099.79,601535.1799999999,1155634.97,0,0,0,21,0,14,8,13,0,0,0,0,0,2,151,6,20,15,0,5,0,1,17,0,5,0,1,1
562,346,59,287,-228,59651.63999999999,75631.0,135282.63999999998,3,0,0,26,2,13,19,29,0,4,0,2,0,12,86,4,50,27,13,12,0,27,5,2,0,2,8,0
563,235,45,190,-145,14519.43,15306.94,29826.37,3,0,0,17,3,6,22,14,0,0,0,0,0,13,39,8,28,5,9,1,0,31,29,0,1,3,3,1
564,133,9,124,-115,11142.71,18280.98,29423.690000000002,3,0,0,3,0,31,1,8,0,0,0,0,0,14,8,8,1,5,16,4,0,21,10,0,0,0,0,0
565,259,40,219,-179,266711.29000000004,266997.65,533708.9400000001,0,0,0,21,0,8,4,10,0,5,0,4,0,3,87,4,35,8,13,8,0,5,35,1,2,1,5,0
567,112,5,107,-102,6397.09,7792.0,14189.089999999998,0,0,0,4,0,3,2,0,0,0,0,0,0,22,3,4,0,12,4,0,0,53,1,0,4,0,0,1
568,41,6,35,-29,54597.039999999986,2616.4500000000003,57213.49,1,0,0,0,1,4,3,1,0,0,0,0,0,2,6,0,4,1,4,0,0,4,8,1,0,1,0,1
569,132,17,115,-98,12278.740000000002,13090.5,25369.24,2,0,0,3,2,0,9,7,0,4,0,3,0,4,16,4,5,19,5,2,0,26,10,0,7,0,4,1
570,205,14,191,-177,6179.0,5655.95,11834.95,9,1,0,10,1,5,15,2,0,4,0,0,0,9,12,4,5,33,6,9,0,50,12,0,4,6,8,0
571,196,32,164,-132,14445.37,14886.87,29332.239999999998,0,0,3,1,0,7,16,18,0,4,0,0,0,9,44,6,20,7,7,14,0,8,17,0,7,1,7,0
572,436,62,374,-312,33396.02,36181.74,69577.76,3,1,1,34,5,44,26,16,0,0,2,0,1,24,68,8,44,38,43,6,0,35,22,1,4,2,8,0
573,200,12,188,-176,10842.75,10576.34,21419.089999999997,0,0,0,12,0,9,0,10,1,0,0,0,0,11,52,4,5,34,10,0,0,10,21,2,4,1,14,1
575,1800,1393,407,986,4523054.55,4158163.33,8681217.88,0,0,0,32,4,16,10,34,0,12,0,0,0,0,360,10,1189,0,3,9,0,15,65,0,20,1,20,1
577,219,6,213,-207,4517.02,3618.07,8135.09,0,0,0,6,2,33,10,7,0,3,0,0,0,46,10,3,3,14,7,0,0,58,10,3,3,1,0,0
579,242,15,227,-212,16274.61,9524.52,25799.13,0,0,1,16,0,4,8,4,13,12,0,2,1,11,24,3,5,23,6,11,0,40,49,1,7,1,0,0
580,2613,1258,1355,-97,4232944.7700000005,4542820.24,8775765.010000002,0,0,0,78,7,14,120,167,5,6,6,61,12,17,577,24,1226,5,11,37,0,44,140,5,26,1,24,0
581,220,26,194,-168,10580.46,10174.85,20755.31,0,0,0,18,3,9,14,7,0,0,2,0,1,15,25,5,13,18,21,0,0,41,13,1,4,7,3,0
582,272,74,198,-124,25184.72,21415.25,46599.97,0,0,0,23,3,7,3,11,1,8,0,12,0,3,39,8,58,3,10,14,0,17,32,3,6,1,10,0
583,781,107,674,-567,51558.700000000004,47416.77,98975.47,0,0,1,51,5,56,31,29,3,8,0,3,2,24,174,12,90,79,19,20,12,61,54,1,23,7,16,0
584,101,18,83,-65,8875.93,10563.87,19439.8,0,0,0,1,0,6,12,0,0,4,0,2,0,2,10,4,11,2,18,12,0,3,2,0,0,12,0,0
585,176,23,153,-130,11510.76,10417.909999999998,21928.67,1,1,0,8,0,5,5,14,1,7,0,0,0,8,33,3,17,5,5,18,0,13,20,0,4,1,7,0
586,388,28,360,-332,17257.769999999997,17065.64,34323.409999999996,42,0,0,17,0,3,31,30,0,8,1,1,0,10,45,4,22,30,16,12,0,58,38,3,8,1,8,0
587,357,23,334,-311,40883.229999999996,37900.439999999995,78783.67,0,0,0,33,0,5,9,14,0,0,0,2,0,12,156,4,14,16,0,10,0,18,26,0,12,0,26,0
588,1424,787,637,150,498560.36000000004,473275.36,971835.7200000001,1,0,1,43,2,29,21,76,2,6,0,6,5,23,205,30,740,40,2,27,0,33,72,3,21,0,36,0
589,200,4,196,-192,7843.83,5500.38,13344.21,0,0,0,7,4,0,14,6,1,8,0,0,0,36,12,0,4,2,2,14,0,47,17,0,10,5,11,0
590,180,58,122,-64,146436.22000000003,30848.1,177284.32,2,0,0,11,3,3,8,16,0,4,0,4,0,3,8,0,52,2,1,2,0,11,20,0,8,0,22,0
592,220,11,209,-198,7401.220000000001,21651.04,29052.26,0,4,1,2,1,56,7,8,0,0,0,0,0,6,36,4,7,37,11,0,0,8,27,0,0,1,4,1
593,233,27,206,-179,13474.529999999999,12091.11,25565.64,0,0,1,7,0,4,5,16,7,8,0,2,0,8,35,6,17,4,14,24,0,39,26,0,5,5,0,1
594,1156,669,487,182,1523415.2799999998,1534527.99,3057943.27,0,0,0,11,1,9,7,78,0,2,0,0,0,16,276,8,599,20,10,4,0,43,63,2,4,3,0,0
595,3415,2079,1336,743,10328652.9,10323005.95,20651658.85,0,0,0,89,5,24,34,348,8,9,0,38,1,8,512,11,2003,46,2,22,0,26,137,5,54,2,31,0
596,175,12,163,-151,7015.589999999999,7049.709999999999,14065.3,0,0,1,0,0,15,1,1,0,0,0,0,0,30,11,0,8,11,28,0,0,57,1,0,0,11,0,0
598,246,22,224,-202,16735.739999999998,15478.879999999997,32214.62,8,1,0,24,2,24,8,7,0,0,0,4,0,34,29,7,9,26,4,1,0,31,6,0,4,5,12,0
599,417,60,357,-297,33330.93,28714.600000000006,62045.53,0,3,0,21,4,15,19,9,0,0,0,15,1,53,51,4,38,4,26,2,0,103,19,0,9,11,10,1
600,131,21,110,-89,46529.05,43910.65000000001,90439.7,1,0,1,1,0,5,4,15,0,0,0,9,0,5,12,2,17,9,6,0,1,29,12,0,2,0,0,1
602,182,13,169,-156,11101.57,62253.850000000006,73355.42,0,1,3,8,0,4,9,6,1,0,1,0,0,6,21,2,8,35,4,0,0,46,16,1,0,8,2,0
603,384,15,369,-354,23683.68,22556.79,46240.47,30,0,0,24,4,11,18,6,2,4,0,4,0,8,44,4,9,47,18,16,0,75,19,3,4,19,15,0
604,1089,346,743,-397,1168911.82,1237230.5499999998,2406142.37,1,3,0,43,5,36,30,43,0,4,1,8,2,16,335,10,327,25,14,9,0,24,110,4,8,8,23,0
605,162,36,126,-90,4490.299999999999,3979.84,8470.14,1,0,0,3,4,6,8,3,0,0,0,0,0,11,20,0,13,12,6,4,0,32,27,0,8,0,4,1
606,639,68,571,-503,25184.86,22870.18,48055.04000000001,0,0,0,27,0,33,73,12,0,0,1,0,0,8,104,12,51,72,22,11,0,158,23,3,9,2,18,0
607,120,7,113,-106,11985.15,10492.48,22477.629999999997,0,0,0,19,0,5,3,8,0,0,0,0,0,2,14,5,2,6,7,26,0,6,8,0,4,0,5,0
